Epoch	Loss_train
1	0.6647752225399017
2	0.6736374398072561
3	0.6510036587715149
4	0.6236690282821655
5	0.5147348244984945
6	0.5063937654097875
7	0.5323260178168615
8	0.4904782772064209
9	0.45413078864415485
10	0.38525117685397464
11	0.34407492230335873
12	0.3168314943710963
13	0.3477114737033844
14	0.3079952622453372
15	0.30417383710543316
16	0.2610919773578644
17	0.435784508784612
18	0.41426921884218854
19	0.30122988671064377
20	0.30658800651629764
21	0.2540198067824046
22	0.26130397121111554
23	0.3085741562147935
24	0.28012629350026447
25	0.2869764578839143
26	0.254427673916022
27	0.26510986561576527
28	0.21003329753875732
29	0.1919623650610447
30	0.24573764453331629
31	0.31470541407664615
32	0.3089086785912514
33	0.24158944686253866
34	0.20595422883828482
35	0.14828051378329596
36	0.1830123718827963
37	0.18638275936245918
38	0.21707493625581264
39	0.17392019368708134
40	0.20386612912019095
41	0.20271077131231627
42	0.1715839703877767
43	0.12228870671242476
44	0.09123374770085017
45	0.09966496843844652
46	0.13883678273608288
47	0.161955326795578
48	0.12686040376623473
49	0.10536650630335014
50	0.08782235284646352
51	0.0878759038945039
52	0.1351181985810399
53	0.19698799215257168
54	0.2125487265487512
55	0.20812120536963144
56	0.1912115477025509
57	0.12480679775277774
58	0.09729847746590774
59	0.06499716266989708
60	0.14719355944544077
61	0.09125338587909937
62	0.05166247673332691
63	0.09103860783701141
64	0.04845254076644778
65	0.04739435878582299
66	0.0712792572254936
67	0.07084594325472911
68	0.1293286858126521
69	0.19282417371869087
70	0.12404729674259822
71	0.16442948331435522
72	0.1505535083512465
73	0.10490320560832818
74	0.08877560713638862
75	0.062388621581097446
76	0.06595374426494043
77	0.08948509022593498
78	0.07356972806155682
79	0.060347980819642544
80	0.06754937131578724
81	0.07061072438955307
82	0.05874663102440536
83	0.08392560730377834
84	0.06406281655654311
85	0.0554600910594066
86	0.05893460505952438
87	0.03474179391438762
88	0.0887181693688035
89	0.05210858785236875
90	0.07397517624000709
91	0.11358823627233505
92	0.27808181941509247
93	0.15304899774491787
94	0.09077622027446826
95	0.07253355579450727
96	0.06474759926398595
97	0.029719569565107424
98	0.030175033840350807
99	0.02841986110433936
100	0.031185293337330222
