Epoch	Loss_train
1	0.6238672733306885
2	0.6007786393165588
3	0.5855646133422852
4	0.5488638281822205
5	0.5054107829928398
6	0.4736100360751152
7	0.34585557132959366
8	0.28996920213103294
9	0.2632473222911358
10	0.24962877854704857
11	0.2041274942457676
12	0.1644778996706009
13	0.18212569318711758
14	0.12000479083508253
15	0.07799519971013069
16	0.08304378623142838
17	0.12411547638475895
18	0.09951228648424149
19	0.09604691993445158
20	0.08760679326951504
21	0.06209474662318826
22	0.061411233618855476
23	0.14868176588788629
24	0.07315557030960917
25	0.07589643890969455
26	0.046966809779405594
27	0.05171187734231353
28	0.03168225451372564
29	0.02357315766857937
30	0.030266048153862357
31	0.028891766909509897
32	0.04084270866587758
33	0.12907691742293537
34	0.11191079206764698
35	0.07896562479436398
36	0.13458972238004208
37	0.07980976440012455
38	0.05534139322116971
39	0.0341606461443007
40	0.03926910366863012
41	0.027087622176622972
42	0.023950772592797875
43	0.03247488720808178
44	0.025815913220867515
45	0.01939908554777503
46	0.019410035805776715
47	0.014562986907549202
48	0.01756105851382017
49	0.03884710022248328
50	0.1152467573992908
51	0.15249202400445938
52	0.13896367233246565
53	0.10119568184018135
54	0.0974783068522811
55	0.10503576509654522
56	0.051240315195173025
57	0.042144829872995615
58	0.036204902455210686
59	0.03665679623372853
60	0.029828691389411688
61	0.02165371336741373
62	0.015522082278039306
63	0.015756676672026515
64	0.013577837176853791
65	0.014941319575882517
66	0.011610394998569973
67	0.023433983282302506
68	0.008881311252480373
69	0.012098154147679452
70	0.009304405306465924
71	0.00814425601856783
72	0.008096546836895868
73	0.01583355753973592
74	0.005450051001389511
75	0.018092182639520615
76	0.010729587462265044
77	0.013720937349717133
78	0.00889086871757172
79	0.03503246663603932
80	0.007510290772188455
81	0.007694068306591362
82	0.008481528755510226
83	0.007350495390710421
84	0.010355581645853817
85	0.005356902089260984
86	0.004839359506149776
87	0.004182031327218283
88	0.004322100561694242
89	0.00436370400711894
90	0.003188223945471691
91	0.004258176420989912
92	0.0030975905756349675
93	0.003181599113304401
94	0.011613121376285562
95	0.012842984953749692
96	0.010531073596212082
97	0.0010825671051861718
98	0.06152381212450564
99	0.04548230673390208
100	0.028068699772120453
