Epoch	Loss_train
1	0.6362178325653076
2	0.6048136552174886
3	0.5100283970435461
4	0.47027697165807086
5	0.4305024693409602
6	0.4616403679052989
7	0.39240984867016476
8	0.3613235553105672
9	0.3515333905816078
10	0.31844237198432285
11	0.31459418187538785
12	0.3298546647032102
13	0.32474744071563083
14	0.2872822458545367
15	0.30652455737193424
16	0.31817397226889926
17	0.2784823576609294
18	0.2709572414557139
19	0.240996944407622
20	0.2564283361037572
21	0.22972017526626587
22	0.2324167601764202
23	0.2500092436869939
24	0.2767799173792203
25	0.2859034091234207
26	0.29298678785562515
27	0.3308851594726245
28	0.26776405423879623
29	0.23212489485740662
30	0.24177352339029312
31	0.2108336774011453
32	0.2092877340813478
33	0.19521760940551758
34	0.20410046353936195
35	0.15823948631683984
36	0.19136219347516695
37	0.3017295164366563
38	0.21881137291590372
39	0.2062279333670934
40	0.17899282028277716
41	0.1539359763264656
42	0.14206924848258495
43	0.17829189946254095
44	0.15632354778548083
45	0.1511072895179192
46	0.1387153702477614
47	0.14519973347584406
48	0.15347371498743692
49	0.1272108070552349
50	0.14836505676309267
51	0.136613879352808
52	0.20968399569392204
53	0.19969290060301623
54	0.18277879556020102
55	0.15200906495253244
56	0.14436162263154984
57	0.13017229083925486
58	0.12544636676708856
59	0.07933922826002042
60	0.08428035583347082
61	0.12298181249449651
62	0.11124763047943513
63	0.11979688797146082
64	0.084557783169051
65	0.09614744037389755
66	0.10082229133695364
67	0.07125003387530644
68	0.0973280497516195
69	0.1719578836734096
70	0.1375155889739593
71	0.17188009868065515
72	0.15269000952442488
73	0.17408778270085654
74	0.10123865430553754
75	0.12245449610054493
76	0.09457871379951636
77	0.08637236803770065
78	0.14551521092653275
79	0.2046171367789308
80	0.28493793308734894
81	0.1985600416858991
82	0.13209026182691255
83	0.12185071470836799
84	0.12598703180750212
85	0.11969316191971302
86	0.08899903514732917
87	0.08325541019439697
88	0.09995233826339245
89	0.0665025661389033
90	0.11732744673887889
91	0.10961845734467109
92	0.10882612069447835
93	0.09655470649401347
94	0.0771490375821789
95	0.11839417833834887
96	0.0795788304725041
97	0.05519218618671099
98	0.056994011936088405
99	0.055135251488536596
100	0.06551622537275155
